input_company_name,company_name,match_confidence_score,status,website_domain,main_country
Thales DIS Sweden AB,Thales Sverige AB.,64.86486486486487,Manual-Review,,Sweden
TIETOEVRY NORWAY AS,TietoEVRY,72.0,Manual-Review,evrycard.no,Norway
TIETOEVRY TECH SERVICES NORWAY AS,Tietoevry Wearables,57.14285714285714,Manual-Review,evrywear.no,Norway
TINEX GROUP AS,TINEX Group,100.0,Auto-Accepted,tinexgroup.no,Norway
Tm Technology Services Sdn. Bhd.,TM One,100.0,Auto-Accepted,tmone.com.my,Malaysia
Tongyu Communication Inc.,Tongyu Communication,100.0,Auto-Accepted,tongyucom.com,China
Tp Link International Ltd.,LINK KYC,92.3076923076923,Auto-Accepted,linkkyc.com,Hong Kong
TPM DATA ApS,TPM Data,40.0,Reject,tpmdata.com,
"Tradium, Erhvervsskole og - gymnasier, Randers S/I",Tradium Mariagervej Randers Kom,57.14285714285714,Manual-Review,,Denmark
TRANSMODE SYSTEMS AB,TRANSMODE SYSTEMS AB.,100.0,Auto-Accepted,,Sweden
TREND MICRO (SINGAPORE) PTE. LTD.,Trend Singapore West Pte Ltd.,77.55102040816327,Manual-Review,,Singapore
Trifork A/S,Trifork Academy,100.0,Auto-Accepted,triforkacademy.dk,Denmark
True Move H Universal Communication Co Ltd,True Move H Universal Communication Company Limited,89.74358974358975,Manual-Review,truemove-h.com,Thailand
TRUSTZONE A/S,TRUSTZONE,100.0,Auto-Accepted,trustzone.com,Denmark
TT DOTCOM SDN. BHD.,MPCN,81.08108108108108,Manual-Review,mpcn.asia,Malaysia
TT-NETVAERKET P/S,TT Network,89.65517241379311,Manual-Review,tt-network.dk,Denmark
TUTELA TECHNOLOGIES LTD.,Tutelacare,53.333333333333336,Manual-Review,tutelacare.com,Canada
TXO SYSTEMS LTD,TXO Systems,100.0,Auto-Accepted,txo.com,United Kingdom
UIPATH SRL,UiPath Immersion Lab,60.0,Manual-Review,uipath.ro,Romania
Unit Trust Of Pakistan,Virtual University of Pakistan VU,58.18181818181818,Manual-Review,,Pakistan
"UNITED INFORMATION HIGHWAY CO., LTD.",UIH,100.0,Auto-Accepted,uih.co.th,Thailand
Ur Consult ApS,Roested,47.05882352941176,Reject,roested.dk,Denmark
UTEL AS,Utel AS,100.0,Auto-Accepted,utel.tech,Norway
VANTIVA TECHNOLOGIES,Vantiva,51.85185185185185,Manual-Review,vantiva.com,France
Vertiv (Malaysia) Sdn. Bhd.,VERTIV,20.689655172413794,Reject,vertiv.cn,United States
"VERTIV (THAILAND) CO., LTD.",Vertiv,28.57142857142857,Reject,vertiv-jp.com,Japan
Vertiv Energy Private Limited,Vertiv Energy Private Limited,100.0,Auto-Accepted,,India
VERTIV (SINGAPORE) PTE. LTD.,2nd phase design,27.77777777777778,Reject,2ndphasedesign.com,Singapore
Viaplay Group AB (publ),Viaplay Group,76.47058823529412,Manual-Review,viaplaygroup.com,Sweden
VIRTUAL WORLD (PVT.) LIMITED,Tape World,69.56521739130434,Manual-Review,tapeworld.com.pk,Pakistan
MV-NORDIC A/S,Mv-nordic Danmark,66.66666666666666,Manual-Review,,Denmark
VOXOGO ApS,Voxogo Aps. Store Kongensgade,100.0,Auto-Accepted,voxogo.com,Denmark
WATCHDATA TECHNOLOGIES PTE LTD,Watchdata,51.42857142857142,Manual-Review,xunlehongbei.com,Singapore
WATEEN SOLUTIONS (PVT.) LIMITED,Wateen electronics,70.58823529411765,Manual-Review,,Pakistan
Waystream AB,Waystream,85.71428571428571,Manual-Review,waystream.com,Sweden
WIDEROE AS,Widerøe Zero,73.15789473684211,Manual-Review,wideroezero.com,Norway
Wilke Markedsanalyse A/S,Wilke A S Aarhus,50.0,Manual-Review,wilke.dk,Denmark
WIPRO LIMITED,Wipro Limited,100.0,Auto-Accepted,,India
WIPRO LIMITED (SINGAPORE BRANCH),Wipro Limited Singapore Branch,100.0,Auto-Accepted,,Singapore
Wire & Wireless Co Ltd,Wire & Wireless,100.0,Auto-Accepted,ww.co.th,Thailand
WOODLANDS TRANSPORT SOLUTIONS PTE. LTD.,Transcool,81.81818181818183,Manual-Review,transcool.com.sg,Singapore
WORKDAY LIMITED,Workday,100.0,Auto-Accepted,workday.github.io,Ireland
WTW REAL ESTATE SDN. BHD.,WTW Real Estate Sdn. Bhd.,100.0,Auto-Accepted,,Malaysia
XIT SOFTWARE ApS,xIT Software,100.0,Auto-Accepted,xit-software.dk,Denmark
Yangtze Optical Fibre And Cable Joint Stock Ltd.,Yangtze Optical Fibre and Cable Joint Stock,100.0,Auto-Accepted,yofc.com.cn,China
YINDA TECHNOLOGY (THAILAND) COMPANY LIMITED,Yinda Infocomm,86.20689655172413,Manual-Review,yinda.co.th,Thailand
ZALARIS HR SERVICES DANMARK A/S,Zalaris HR Services Danmark A/S.,100.0,Auto-Accepted,zalaris.dk,Denmark
Zalaris HR Services Finland Oy,Music Aggregation Services Finland Oy.,68.65671641791045,Manual-Review,masf.fi,Finland
ZALARIS HR SERVICES NORWAY AS,Aviation Fuelling Services Norway,64.40677966101694,Manual-Review,afsn.no,Norway
Zalaris HR Services Sverige AB,Zalaris HR Services Sverige AB.,100.0,Auto-Accepted,zalaris.se,Sweden
ZENDATA ApS,Zendata,100.0,Auto-Accepted,zendata.dk,Denmark
ZHONGXING TELECOM PAKISTAN (PRIVATE) LIMITED,Lahore Warehouse pko3,100.0,Auto-Accepted,ztewarehouse.webs.com,Pakistan
ZIFF DAVIS IRELAND LIMITED,Ziff Davis,35.714285714285715,Reject,zyzvpn.pages.dev,United States
Zte (Malaysia) Corporation Sdn. Bhd.,ZTE,100.0,Auto-Accepted,ztedevices.com.my,Malaysia
Zte (Thailand) Co Ltd,ZTE Thailand,100.0,Auto-Accepted,,Thailand
Zte Corporation,ZTE Corporation Division,76.92307692307693,Manual-Review,,China
Z.T.E. CORPORATION BANGLADESH LTD.,ZTE Corporation Bangladesh Limited,100.0,Auto-Accepted,,Bangladesh
ZTE NORWAY AS,Bwell Norge,47.61904761904761,Reject,bwell.no,Norway
